  We97  Voyager   MeV  none              ratio  98.7   65.0  150.0    0.126    0.009   0.0   a   10.21  0.00   0.0 |10.-1  0.0   0.0 Table 1 Ne
  We97  Voyager   MeV  none              ratio  98.7   65.0  150.0    0.304    0.012   0.0   a   10.22  0.00   0.0 |10.-1  0.0   0.0 Table 1 Ne
  We97  Voyager   MeV  none              ratio 100.5   66.0  153.0    0.221    0.019   0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 Ne
  We97  Voyager   MeV  none              ratio 100.5   66.0  153.0    0.533    0.029   0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 Ne
#
  We97  Voyager   MeV  none              ratio 111.1   73.0  169.0    0.675    0.0096  0.0   a   12.24  0.00   0.0 |12.-1  0.0   0.0 Table 1 Mg
  We97  Voyager   MeV  none              ratio 111.1   73.0  169.0    0.151    0.0086  0.0   a   12.25  0.00   0.0 |12.-1  0.0   0.0 Table 1 Mg
  We97  Voyager   MeV  none              ratio 111.1   73.0  169.0    0.174    0.0079  0.0   a   12.26  0.00   0.0 |12.-1  0.0   0.0 Table 1 Mg
  We97  Voyager   MeV  none              ratio 112.2   74.0  170.0    0.223    0.013   0.0   a   12.25  0.00   0.0 |12.24  0.0   0.0 Table 1 Mg
  We97  Voyager   MeV  none              ratio 112.2   74.0  170.0    0.257    0.015   0.0   a   12.26  0.00   0.0 |12.24  0.0   0.0 Table 1 Mg
#
  We97  Voyager   MeV  none              ratio 122.0   80.0  186.0    0.8742   0.0087  0.0   a   14.28  0.00   0.0 |14.-1  0.0   0.0 Table 1 Si
  We97  Voyager   MeV  none              ratio 122.0   80.0  186.0    0.0657   0.0085  0.0   a   14.29  0.00   0.0 |14.-1  0.0   0.0 Table 1 Si
  We97  Voyager   MeV  none              ratio 122.0   80.0  186.0    0.0600   0.0055  0.0   a   14.30  0.00   0.0 |14.-1  0.0   0.0 Table 1 Si
  We97  Voyager   MeV  none              ratio 122.3   80.0  187.0    0.078    0.010   0.0   a   14.29  0.00   0.0 |14.28  0.0   0.0 Table 1 Si
  We97  Voyager   MeV  none              ratio 122.3   80.0  187.0    0.069    0.006   0.0   a   14.30  0.00   0.0 |14.28  0.0   0.0 Table 1 Si
#
  We97  Voyager   MeV  none              ratio 140.6   86.0  230.0    0.690    0.030   0.0   a   16.32  0.00   0.0 |16.-1  0.0   0.0 Table 1 S
  We97  Voyager   MeV  none              ratio 140.6   86.0  230.0    0.128    0.028   0.0   a   16.33  0.00   0.0 |16.-1  0.0   0.0 Table 1 S
  We97  Voyager   MeV  none              ratio 140.6   86.0  230.0    0.180    0.024   0.0   a   16.34  0.00   0.0 |16.-1  0.0   0.0 Table 1 S
#                             Ne isotopes    measured energies, Binns 2005 . 
  Bi05  IMP       MeV  none              ratio   90.0  84.0   97.0    0.5644   0.0188  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
  Bi05  IMP       MeV  none              ratio  120.0 107.0  135.0    0.5516   0.0128  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
  Bi05  IMP       MeV  none              ratio  154.0 142.0  168.0    0.5898   0.0133  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
  Bi05  IMP       MeV  none              ratio  184.0 173.0  198.0    0.5792   0.0141  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
  Bi05  IMP       MeV  none              ratio  211.0 200.0  225.0    0.6036   0.0152  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
  Bi05  IMP       MeV  none              ratio  236.0 225.0  249.0    0.5969   0.0163  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
  Bi05  IMP       MeV  none              ratio  259.0 248.0  273.0    0.6131   0.0192  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,7
#                                             <E>=geometric  mean
  Bi05  IMP       MeV  none              ratio  151.4  84.0  273.0    0.5839   0.0134  0.0   a   10.22  0.00   0.0 |10.20  0.0   0.0 Table 1 col 3,7. quad sum errors
#
  Bi05  IMP       MeV  none              ratio   90.0  84.0   97.0    0.2033   0.0099  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
  Bi05  IMP       MeV  none              ratio  120.0 107.0  135.0    0.2021   0.0068  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
  Bi05  IMP       MeV  none              ratio  154.0 142.0  168.0    0.2064   0.0072  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
  Bi05  IMP       MeV  none              ratio  184.0 173.0  198.0    0.2153   0.0080  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
  Bi05  IMP       MeV  none              ratio  211.0 200.0  225.0    0.2285   0.0089  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
  Bi05  IMP       MeV  none              ratio  236.0 225.0  249.0    0.2296   0.0095  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
  Bi05  IMP       MeV  none              ratio  259.0 248.0  273.0    0.2146   0.0102  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 2,3,8
#                                             <E>=geometric  mean
  Bi05  IMP       MeV  none              ratio  151.4  84.0  273.0    0.2137   0.0054  0.0   a   10.21  0.00   0.0 |10.20  0.0   0.0 Table 1 col 3,8. quad sum errors
#
  test  HEAO-3    MeV  1/cm2/sr/MeV      flux  6.2e2  6.2e2  6.2e2    3.000e-7  0.3    0.0   r    0.00  0.00   0.0 | 6.12  0.0   0.0 from C_1.dat
  test  HEAO-3    MeV  1/cm2/sr/MeV      flux  8.0e2  8.0e2  8.0e2    2.440e-7  0.3    0.0   r    0.00  0.00   0.0 | 6.-1  0.0   0.0 from C_1.dat
  test  HEAO-3    MeV  1/cm2/sr/MeV      flux  1.0e3  1.0e3  1.0e3    1.830e-7  0.3    0.0   r    0.00  0.00   0.0 | 6.-1  0.0   0.0 from C_1.dat
# test  HEAO-3    MeV  1/cm2/sr/MeV      flux  1.06e4 1.0e4  1.1e4    3.240e-9  0.3    0.0   r    0.00  0.00   0.0 | 6.-1  0.0   0.0 from C_1.dat
  test  HEAO-3    MeV  1/cm2/sr/MeV      flux  3.50e4 3.5e4  3.5e4    1.250e-10 0.3    0.0   r    0.00  0.00   0.0 | 6.12  0.0   0.0 from C_1.dat
# test  HEAO-3    MeV  1/cm2/sr/GeV      flux  1.06e4 1.0e4  1.1e4    3.240e-6  0.3    0.0   r    0.00  0.00   0.0 | 6.12  0.0   0.0 from C_1.dat
# test  HEAO-3    MeV  MeV/cm2/sr        flux  1.06e4 1.0e4  1.1e4    3.640e-1  0.3    0.0   r    0.00  0.00   0.0 | 6.12  0.0   0.0 from C_1.dat
  test  HEAO-3    GeV  GeV/cm2/sr        flux  1.06e1 1.0e1  1.1e1    3.640e-4  0.3    0.0   r    0.00  0.00   0.0 | 6.12  0.0   0.0 from C_1.dat
  TEST  HEAO-3    GeV  GeV/cm2/sr        flux  1.06e1 1.0e1  1.1e1    3.640e-4  0.3    0.0   r    0.00  0.00   0.0 | 6.-1  0.0   0.0 from C_1.dat
# TEST  electrons MeV  MeV/cm2/sr        flux  1.0e3  1.0e3  1.1e3    1.000e+1  0.3    0.0   a    0.00  0.00   0.0 |-1.00  0.0   0.0 dummy test electrons
# TEST  electrons MeV  MeV/cm2/sr        flux  1.0e4  1.0e4  1.1e4    1.000e+0  0.3    0.0   a    0.00  0.00   0.0 |-1.00  0.0   0.0 dummy test electrons
# TEST  positrons MeV  MeV/cm2/sr        flux  1.0e2  1.0e2  1.1e2    1.000e+1  0.3    0.0   a    0.00  0.00   0.0 |+1.00  0.0   0.0 dummy test positrons
# TEST  positrons MeV  MeV/cm2/sr        flux  1.0e3  1.0e3  1.1e3    1.000e-0  0.3    0.0   a    0.00  0.00   0.0 |+1.00  0.0   0.0 dummy test positrons
# TEST  positrons MeV  MeV/cm2/sr        flux  1.0e4  1.0e4  1.1e4    1.000e-1  0.3    0.0   a    0.00  0.00   0.0 |+1.00  0.0   0.0 dummy test positrons
# TEST  protons   MeV  MeV/cm2/sr        flux  1.0e3  1.0e3  1.1e3    1.000e+3  0.3    0.0   a    0.00  0.00   0.0 | 1.01  0.0   0.0 dummy test protons  
